File Name,Type,MODES(MB),MCSTA(MB),STORM(MB)
,,,,
cluster.v1.jani,CTMC,57,68,122
cluster.v1.prism,CTMC,,,148
embedded.v1.jani,CTMC,57,57,123
embedded.v1.prism,CTMC,,,149
fms.v1.jani,CTMC,INCOMPATIBLE,54,122
fms.v1.prism,CTMC,,,149
kanban.v1.jani,CTMC,INCOMPATIBLE,56,125
kanban.v1.prism,CTMC,,,152
polling.12.v1.jani,CTMC,58,87,193
polling.12.v1.prism,CTMC,,,221
brp.v1.jani,DTMC,57,52,122
brp.v1.prism,DTMC,,,149
crowds.v1.jani,DTMC,57,54,122
crowds.v1.prism,DTMC,,,149
egl.v1.jani,DTMC,59,62,130
egl.v1.prism,DTMC,,,155
herman.3.v1.jani,DTMC,INCOMPATIBLE,INCOMPATIBLE,109
herman.3.v1.prism,DTMC,,,135
leader_sync.3-2.v1.jani,DTMC,57,53,122
leader_sync.3-2.v1.prism,DTMC,,,148
bitcoin-attack.v1.jani,MA,54,53,122
bitcoin-attack.v1.modest,MA,55,54,
breakdown-queues.v2.jani,MA,56,56,124
breakdown-queues.v2.modest,MA,57,56,
dpm.v2.jani,MA,56,67,137
dpm.v2.modest,MA,ERROR,ERROR,
erlang.v2.jani,MA,55,ERROR,125
erlang.v2.modest,MA,ERROR,ERROR,
ftwc.v3.jani,MA,57,55,124
ftwc.v3.modest,MA,ERROR,ERROR,
consensus.2.v1.jani,MDP,56,53,122
consensus.2.v1.prism,MDP,,,148
csma.2-2.v1.jani,MDP,56,54,122
csma.2-2.v1.prism ,MDP,,,149
firewire.false.v2.jani,MDP,57,56,125
firewire.false.v2.prism ,MDP,,,151
pacman.v1.jani,MDP,71,67,125
pacman.v1.prism,MDP,,,151
philosophers-mdp.3.v1.jani,MDP,56,53,121
philosophers-mdp.3.v1.prism,MDP,,,148